idx,state,county,muni,unique_matches,unique_counts,all_counts,muncipalcode,source
3,California,Contra Costa County,DANVILLE,"['1', '2', '3', '4', '5', '6', '7', '8', '9', 'A', 'A-1', 'A-2', 'C', 'CC', 'D-1', 'FAR', 'G-1', 'I', 'IV', 'L-I', 'O-1', 'OR', 'P-1', 'PARK', 'R-B', 'V']",26,55,https://codelibrary.amlegal.com/codes/danvilleca/latest/overview,codelibrary
6,California,Los Angeles County,TEMPLE CITY,"['A', 'C', 'OR']",3,5,https://codelibrary.amlegal.com/codes/templecityca/latest/overview,codelibrary
22,Florida,Broward County,COOPER CITY,"['1', '2', 'A', 'A-1', 'B-1', 'B-2', 'B-3', 'C-1', 'C-2', 'CS', 'E-1', 'E-2', 'E-3', 'I', 'I-1', 'IV', 'OP', 'P-1', 'PCD', 'PRD', 'R-1-C', 'R-2', 'R-3', 'R-4', 'TH-1']",25,38,https://codelibrary.amlegal.com/codes/coopercity/latest/overview,codelibrary
31,Idaho,Canyon County,MIDDLETON,"['1', '2', 'A', 'A-R', 'B', 'C-1', 'C-2', 'C-3', 'M-1', 'M-2', 'R-1', 'R-2', 'R-3', 'RV', 'TOD']",15,29,https://codelibrary.amlegal.com/codes/middletonid/latest/overview,codelibrary
33,Illinois,Cook County,WESTERN SPRINGS,"['1', '2', '3', '4', '5', '6', '7', '8', 'A', 'B', 'C1', 'C2', 'DT', 'MXD', 'O', 'R1', 'R2', 'R3', 'R4', 'R5', 'RB']",21,41,https://codelibrary.amlegal.com/codes/westernspringsil/latest/overview,codelibrary
34,Illinois,DuPage County,BARTLETT,"['1', '2', '3', '4', '5', '6', '7', '8', '9', 'A', 'B', 'I', 'PUD']",13,49,https://codelibrary.amlegal.com/codes/bartlettil/latest/overview,codelibrary
35,Illinois,DuPage County,HINSDALE,"['1', '2', '3', '4', '5', '6', '7', '8', '9', 'A', 'B', 'B-1', 'B-2', 'B-3', 'DR', 'HS', 'I', 'IV', 'O-1', 'O-2', 'O-3', 'OS', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5', 'R-6', 'V']",29,69,https://codelibrary.amlegal.com/codes/hinsdaleil/latest/overview,codelibrary
36,Illinois,Grundy County,MINOOKA,['6'],1,2,https://codelibrary.amlegal.com/codes/minookail/latest/overview,codelibrary
39,Illinois,Lake County,LINDENHURST,"['1', '2', '3', '4', '5', '6', '7', '8', '9', 'A', 'B', 'C', 'E', 'G', 'H', 'I']",16,58,https://codelibrary.amlegal.com/codes/lindenhurstil/latest/overview,codelibrary
41,Illinois,Will County,MANHATTAN,"['1', '2', '3', '4', '5', '6', '7', '8', '9', 'A', 'A-1', 'B', 'BP', 'C-1', 'C-2', 'C-3', 'CBD', 'CR', 'ER', 'I-1', 'I-2', 'I-3', 'P', 'PP', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5', 'R-6', 'S']",31,888,https://codelibrary.amlegal.com/codes/manhattanil/latest/overview,codelibrary
43,Illinois,Cook County,WINNETKA,"['1', '2', '3', '4', 'A', 'B-1', 'B-2', 'C-1', 'C-2', 'R-1', 'R-2', 'R-3', 'R-4', 'R-5']",14,34,https://codelibrary.amlegal.com/codes/winnetka/latest/overview,codelibrary
45,Illinois,DuPage County,WINFIELD,"['1', '2', '3', '4', '5', '6', '7', '8', '9', 'A', 'B', 'CAR', 'OR', 'S']",14,254,https://codelibrary.amlegal.com/codes/winfieldil/latest/overview,codelibrary
46,Illinois,Jersey County,JERSEYVILLE,"['1', '2', '5', 'A', 'B', 'I', 'NO', 'O']",8,22,https://codelibrary.amlegal.com/codes/jerseyvilleil/latest/overview,codelibrary
